Length:   Width:    Color:    
2.0       1.33      red       
2.21      1.26      red       
1.74      1.48      red       
1.85      0.83      blue      
1.34      0.88      blue      
2.12      1.23      red       
1.85      1.32      red       
2.42      1.44      red       
1.45      0.92      blue      
2.09      1.3       red       
2.16      1.56      red       
1.18      1.27      red       
1.18      0.69      blue      
1.19      1.35      red       
3.5       1.44      red       
1.56      1.46      red       
1.78      1.41      red       
0.91      0.53      blue      
0.83      0.57      blue      
1.08      1.61      red       
1.14      1.31      blue      
1.77      1.32      red       
1.37      1.45      red       
0.61      0.06      blue      
1.95      1.69      red       
2.27      1.55      red       
2.16      1.18      red       
2.25      1.4       red       
1.63      0.75      blue      
2.44      1.18      red       
1.0       1.05      blue      
1.16      0.91      blue      
1.07      0.89      blue      
0.96      0.8       blue      
2.07      1.53      red       
1.62      1.36      red       
3.45      1.4       red       
2.43      1.63      red       
1.08      1.35      red       
0.44      1.25      red       
1.24      1.02      blue      
1.95      1.25      red       
1.27      0.95      blue      
0.79      0.76      blue      
1.87      1.35      red       
0.52      0.88      blue      
2.2       1.35      red       
1.01      0.82      blue      
0.43      0.64      blue      
0.64      0.99      blue      
2.28      1.37      red       
1.19      0.42      blue      
0.82      1.01      blue      
2.29      1.56      red       
1.11      1.0       blue      
1.3       1.21      blue      
1.44      0.97      blue      
1.11      1.22      blue      
1.04      0.59      blue      
1.87      1.44      red       
1.36      0.86      blue      
1.31      1.17      red       
1.85      1.1       red       
1.0       0.89      blue      
1.66      0.55      blue      
2.62      1.13      red       
0.84      1.18      red       
1.94      1.3       red       
0.96      0.86      blue      
1.81      1.44      red       
1.32      0.76      blue      
1.38      1.02      blue      
0.98      0.64      blue      
1.07      1.25      blue      
0.5       1.17      red       
2.37      1.45      red       
3.01      1.42      red       
1.32      0.75      blue      
2.5       1.26      red       
2.76      1.58      red       
0.9       0.84      blue      
2.22      1.46      red       
0.84      0.56      blue      
2.64      1.29      red       
0.29      0.96      blue      
1.5       0.93      blue      
0.73      0.94      blue      
1.3       0.89      blue      
0.69      0.53      blue      
2.72      1.29      red       
1.67      1.52      red       
2.39      1.51      red       
1.39      1.37      red       
2.08      1.52      red       
1.88      1.49      red       
1.95      1.5       red       
2.58      1.35      red       
2.51      1.38      red       
0.43      0.61      blue      
0.65      1.02      blue      
1.03      0.83      blue      
2.24      1.61      red       
2.54      1.32      red       
2.52      1.16      red       
0.52      1.0       blue      
1.23      0.83      blue      
3.2       1.45      red       
1.63      1.26      red       
0.32      0.87      blue      
2.45      1.32      red       
1.92      1.38      red       
2.24      1.41      red       
1.17      1.15      blue      
1.29      0.6       blue      
2.26      1.41      red       
0.89      0.76      blue      
0.54      0.99      blue      
1.34      1.54      red       
2.2       1.64      red       
1.03      0.35      blue      
2.53      1.35      red       
2.27      1.37      red       
2.48      1.61      red       
1.8       1.16      red       
1.0       1.11      blue      
0.96      0.8       blue      
1.02      1.39      blue      
1.77      1.21      red       
0.81      0.71      blue      
3.1       1.54      red       
2.05      1.01      red       
0.43      0.79      blue      
1.03      1.13      blue      
2.82      1.37      red       
0.67      0.94      blue      
2.23      1.34      red       
2.04      1.53      red       
0.95      0.81      blue      
1.13      0.66      blue      
2.16      1.44      red       
1.91      1.01      blue      
1.02      1.41      red       
3.19      1.37      red       
1.84      1.47      red       
0.44      1.13      blue      
3.09      1.3       red       
0.56      0.68      blue      
1.49      1.24      red       
2.88      1.1       red       
2.01      1.47      red       
0.96      0.53      blue      
1.05      0.56      blue      
2.13      1.28      red       
2.25      1.38      red       
1.17      0.6       blue      
0.38      1.42      red       
2.09      1.36      red       
0.76      0.87      blue      
0.9       1.4       red       
1.64      1.23      red       
1.77      1.45      red       
0.41      0.79      blue      
0.92      0.76      blue      
2.77      1.54      red       
1.9       1.34      red       
1.54      1.37      red       
1.85      1.41      red       
0.88      0.98      blue      
2.82      1.34      red       
1.53      1.23      red       
1.31      0.86      blue      
1.9       1.39      red       
1.14      0.71      blue      
0.45      1.42      red       
2.17      1.43      red       
2.35      1.09      red       
3.13      1.53      red       
0.46      1.26      blue      
2.03      1.44      red       
0.7       0.96      blue      
2.75      1.28      red       
1.85      1.52      red       
0.81      0.88      blue      
1.49      1.14      blue      
0.95      0.73      blue      
1.23      1.46      red       
1.56      1.36      red       
2.29      1.26      red       
2.47      1.35      red       
0.71      0.49      blue      
2.36      1.35      red       
2.38      1.53      red       
0.48      1.05      blue      
0.97      1.38      red       
1.04      0.94      blue      
2.9       1.2       red       
2.15      1.18      red       
0.7       0.89      blue      
0.86      1.33      blue      
2.13      1.55      red       
0.95      0.85      blue      
1.57      1.29      red       
1.61      1.59      red       
0.81      1.31      red       
1.98      1.52      red       
1.81      1.27      red       
0.82      0.77      blue      
1.01      0.99      red       
1.29      0.6       blue      
0.71      1.11      blue      
2.34      1.32      red       
2.09      1.17      red       
1.09      0.51      blue      
1.25      0.8       blue      
2.01      1.1       red       
1.76      1.49      red       
1.34      1.36      blue      
1.76      1.76      red       
0.92      0.67      blue      
0.62      1.09      blue      
0.91      1.02      blue      
1.06      1.31      red       
2.41      1.37      red       
2.33      1.29      red       
2.8       1.4       red       
2.42      1.34      red       
1.67      0.83      blue      
2.38      1.6       red       
1.17      0.97      blue      
0.61      0.77      blue      
1.04      0.74      blue      
1.47      1.08      blue      
1.48      1.21      red       
2.78      1.38      red       
1.9       1.57      red       
1.23      1.43      red       
1.12      0.93      blue      
1.88      1.28      red       
0.79      1.21      blue      
3.05      1.11      red       
1.02      0.68      blue      
2.53      1.35      red       
2.82      1.15      red       
1.29      1.23      blue      
1.33      1.08      blue      
1.05      0.39      blue      
1.73      1.42      red       
0.35      1.13      blue      
2.42      1.46      red       
1.07      1.32      red       
0.88      0.58      blue      
1.1       1.14      blue      
2.59      1.34      red       
1.28      1.22      red       
1.95      1.38      red       
1.17      1.42      blue      
0.87      1.36      red       
1.06      1.5       red       
1.06      0.81      blue      
0.27      1.06      blue      
1.05      0.88      blue      
1.86      1.4       red       
2.08      1.32      red       
0.72      0.36      blue      
2.19      1.45      red       
0.68      0.92      blue      
1.84      1.38      red       
1.35      0.96      blue      
1.29      1.41      red       
1.06      1.32      red       
0.53      0.84      blue      
2.29      1.16      red       
2.28      1.25      red       
2.47      1.32      red       
1.07      1.42      red       
2.02      1.44      red       
0.64      1.17      blue      
0.93      1.17      blue      
1.7       1.61      red       
1.67      1.42      blue      
1.86      1.26      red       
1.44      0.95      blue      
1.34      1.31      red       
3.06      1.22      red       
1.7       1.5       red       
0.87      0.48      blue      
0.61      0.52      blue      
1.33      0.67      blue      
1.2       1.01      blue      
1.38      1.51      red       
0.6       0.63      blue      
2.29      1.52      red       
1.47      0.49      blue      
0.87      0.78      blue      
1.11      1.08      blue      
2.54      1.5       red       
1.28      0.83      blue      
1.8       1.48      red       
1.99      1.31      red       
1.16      0.85      blue      
1.08      0.86      blue      
0.83      1.35      red       
1.6       1.47      red       
1.65      1.38      red       
1.05      1.03      blue      
3.27      0.82      red       
1.06      1.18      blue      
2.56      1.1       red       
0.77      0.71      blue      
1.86      1.37      red       
0.76      0.91      blue      
0.87      1.4       blue      
2.68      1.48      red       
2.65      1.29      red       
1.08      0.98      blue      
2.26      1.08      red       
0.58      0.97      blue      
1.4       0.53      blue      
2.11      1.51      red       
0.78      1.14      blue      
0.76      1.42      red       
0.65      0.81      blue      
1.02      1.19      blue      
2.37      1.48      red       
1.69      1.06      blue      
1.37      0.96      blue      
1.64      1.37      blue      
2.97      1.48      red       
1.13      0.84      blue      
0.48      0.99      blue      
1.89      1.29      red       
0.86      1.09      blue      
1.02      0.86      blue      
0.76      0.53      blue      
2.12      1.4       red       
1.08      0.99      blue      
2.27      1.24      red       
0.94      0.88      blue      
1.44      1.43      red       
1.76      1.39      red       
1.21      1.29      red       
0.96      1.15      blue      
0.86      0.96      blue      
1.02      1.02      blue      
1.28      1.35      red       
1.49      0.7       blue      
2.44      1.24      red       
0.5       1.31      red       
1.63      1.43      red       
1.73      1.31      red       
1.72      1.18      red       
1.17      1.04      blue      
2.12      1.31      red       
1.07      0.91      blue      
2.12      1.36      red       
1.09      0.84      blue      
0.71      0.87      blue      
1.28      0.98      blue      
1.69      1.41      red       
2.33      1.42      red       
1.79      1.7       red       
0.63      0.82      blue      
0.72      0.68      blue      
3.21      1.47      red       
2.16      1.2       red       
1.29      1.05      blue      
1.04      0.34      blue      
1.73      1.23      red       
1.36      1.55      red       
0.31      0.37      blue      
1.11      0.88      blue      
2.64      1.21      red       
2.53      1.12      red       
1.29      0.88      blue      
0.59      1.17      blue      
3.0       1.3       red       
1.58      1.05      blue      
1.15      0.74      blue      
2.32      1.27      red       
0.84      1.5       blue      
1.97      1.45      red       
3.15      1.48      red       
0.48      0.8       blue      
0.96      0.29      blue      
2.38      1.41      red       
1.2       0.71      blue      
2.45      1.05      red       
2.63      1.24      red       
1.07      1.26      red       
0.92      0.77      blue      
2.06      1.19      red       
2.11      1.31      red       
1.02      1.07      blue      
1.27      0.59      blue      
1.97      0.95      red       
1.29      0.66      blue      
1.06      0.94      blue      
2.93      1.45      red       
2.14      1.16      red       
1.0       0.79      blue      
2.32      1.16      red       
1.26      0.83      blue      
2.15      1.43      red       
0.89      0.83      blue      
2.68      1.42      red       
0.56      1.43      blue      
0.34      1.54      red       
1.09      1.09      blue      
2.79      1.6       red       
2.21      1.36      red       
0.65      1.07      blue      
0.95      0.6       blue      
1.9       1.26      red       
1.73      0.6       blue      
2.6       1.4       red       
2.39      1.37      red       
0.78      1.0       blue      
1.28      1.41      red       
1.64      0.99      blue      
1.13      0.69      blue      
1.95      1.46      red       
1.0       0.94      blue      
1.62      1.21      red       
1.0       1.3       red       
1.66      1.42      red       
1.19      0.79      blue      
2.39      1.3       red       
3.12      1.29      red       
0.89      0.9       blue      
3.12      1.0       red       
1.87      1.33      red       
1.12      1.34      red       
1.15      0.83      blue      
0.91      0.56      blue      
0.81      0.91      blue      
0.79      0.8       blue      
2.11      1.47      red       
0.92      0.93      blue      
0.8       1.05      blue      
1.01      0.82      blue      
1.24      1.02      blue      
0.56      0.55      blue      
1.01      0.87      blue      
2.45      1.2       red       
2.02      1.19      red       
1.1       0.57      blue      
0.86      0.71      blue      
0.69      0.76      blue      
0.8       1.18      blue      
1.52      1.53      red       
2.57      1.31      red       
1.2       1.05      blue      
2.48      1.36      red       
0.41      1.24      red       
0.24      0.85      blue      
1.05      1.34      red       
1.26      0.85      blue      
1.02      1.15      blue      
1.9       1.63      red       
1.37      1.05      blue      
3.42      1.37      red       
1.76      1.47      red       
1.96      1.51      red       
1.95      1.31      red       
2.3       1.3       red       
1.6       1.19      red       
1.41      0.68      blue      
1.2       1.56      blue      
1.17      0.83      blue      
1.15      1.18      red       
1.49      1.4       red       
2.46      1.36      red       
1.34      0.87      blue      
1.74      1.49      red       
1.08      1.05      blue      
1.54      0.76      blue      
0.78      0.7       blue      
2.68      1.3       red       
2.13      1.29      red       
1.76      1.23      red       
1.83      1.2       red       
1.89      1.29      red       
1.73      1.41      red       
1.63      1.17      red       
2.34      1.22      red       
1.14      1.02      blue      
2.05      1.29      red       
0.93      1.05      blue      
1.01      0.86      blue      
1.09      1.2       blue      
2.14      1.23      red       
3.31      1.46      red       
0.99      1.18      blue      
0.72      0.81      blue      
1.26      1.41      blue      
2.51      1.25      red       
0.78      1.16      blue      
2.26      1.42      red       
0.8       1.14      blue      
2.76      1.49      red       
1.77      1.33      red       
2.01      1.4       red       
0.83      0.64      blue      
2.32      1.21      red       
0.9       1.21      blue      
1.36      0.81      blue      
1.58      1.4       red       
2.68      1.45      red       
1.1       1.26      blue      
1.47      0.74      blue      
0.9       1.37      red       
1.27      1.14      blue      
0.8       0.95      blue      
0.64      1.21      blue      
3.3       1.33      red       
1.88      1.25      red       
0.95      1.25      blue      
0.99      1.07      blue      
1.99      1.36      red       
2.25      1.49      red       
2.17      1.31      red       
2.13      1.43      red       
0.37      0.99      blue      
1.18      0.54      blue      
0.31      0.95      blue      
0.73      1.21      blue      
0.98      1.27      blue      
2.95      1.43      red       
1.97      1.39      red       
0.72      1.28      blue      
0.84      0.59      blue      
0.92      1.19      blue      
2.47      1.51      red       
2.11      1.56      red       
1.97      1.45      red       
1.34      1.51      red       
1.31      1.17      blue      
1.85      1.38      red       
1.83      0.98      red       
0.69      1.04      blue      
1.99      1.35      red       
1.12      0.92      blue      
2.46      1.49      red       
0.81      1.04      blue      
1.66      1.52      red       
0.98      1.04      blue      
0.99      0.98      blue      
1.48      0.73      blue      
1.93      1.42      red       
2.49      1.42      red       
2.82      1.25      red       
0.52      1.15      blue      
2.19      1.31      red       
1.65      1.42      red       
1.11      1.11      blue      
1.17      1.11      blue      
0.9       1.22      blue      
1.66      1.44      red       
1.18      0.81      blue      
1.26      1.05      blue      
2.63      1.43      red       
2.05      1.26      red       
3.06      1.41      red       
0.8       0.96      blue      
1.14      1.29      red       
1.63      1.15      red       
3.25      1.28      red       
3.28      1.35      red       
1.26      1.58      red       
2.03      1.46      red       
1.89      1.2       red       
1.83      1.16      red       
1.28      0.83      blue      
2.3       1.48      red       
1.75      0.57      blue      
2.54      1.28      red       
0.83      1.02      blue      
1.98      1.54      red       
0.98      0.93      blue      
0.54      1.11      blue      
1.23      1.07      blue      
1.08      0.88      blue      
0.69      0.79      blue      
1.68      1.07      blue      
2.01      1.46      red       
1.07      0.78      blue      
1.06      0.9       blue      
1.56      1.65      red       
1.47      1.53      red       
0.79      0.58      blue      
1.38      0.68      blue      
0.64      1.02      blue      
1.13      0.94      blue      
2.87      1.37      red       
2.66      1.48      red       
1.08      0.99      blue      
3.21      1.49      red       
0.71      0.94      blue      
1.51      0.58      blue      
1.59      1.57      red       
0.69      0.7       blue      
1.51      1.03      blue      
2.13      1.42      red       
2.72      1.08      red       
2.51      1.45      red       
2.3       1.35      red       
1.22      0.92      blue      
2.59      1.39      red       
1.14      0.82      blue      
2.96      1.17      red       
0.74      1.14      blue      
3.08      1.52      red       
0.94      0.6       blue      
1.92      1.43      red       
1.33      0.61      blue      
0.6       0.63      blue      
2.64      1.28      red       
0.98      1.12      blue      
2.07      1.46      red       
3.04      1.29      red       
0.93      1.51      red       
0.61      1.35      red       
1.22      0.87      blue      
0.91      1.12      blue      
1.21      0.94      blue      
1.28      1.13      blue      
0.78      0.84      blue      
2.55      1.41      red       
0.75      0.82      blue      
1.6       0.82      blue      
1.45      0.73      blue      
0.87      0.87      blue      
1.18      0.47      blue      
2.18      1.68      red       
1.87      1.41      red       
2.23      1.23      red       
2.04      1.5       red       
1.23      0.48      blue      
0.7       0.7       blue      
1.39      0.86      blue      
1.84      1.14      blue      
1.79      1.36      red       
2.6       1.36      red       
2.64      1.42      red       
1.6       0.76      blue      
1.12      0.62      blue      
2.45      1.58      red       
1.37      0.84      blue      
2.69      1.17      red       
2.27      1.63      red       
0.6       0.61      blue      
1.01      0.65      blue      
0.67      1.17      blue      
2.16      1.2       red       
2.96      1.48      red       
0.88      1.28      red       
2.08      1.23      red       
2.41      1.27      red       
1.13      0.86      blue      
3.64      1.56      red       
1.85      1.37      red       
1.53      1.21      red       
0.62      1.15      blue      
1.7       1.48      red       
2.38      1.23      red       
2.48      1.41      red       
1.9       1.27      red       
0.99      1.57      red       
1.39      0.87      blue      
0.67      0.61      blue      
2.69      1.49      red       
1.24      0.89      blue      
0.63      0.72      blue      
0.96      0.98      blue      
2.09      1.38      red       
0.6       1.08      blue      
0.82      1.24      red       
1.07      1.27      red       
0.64      1.14      blue      
0.83      0.59      blue      
1.94      1.06      red       
0.92      0.96      blue      
0.83      0.73      blue      
1.91      1.5       red       
1.16      1.28      red       
0.89      0.36      blue      
1.39      1.47      red       
2.01      1.36      red       
1.75      1.38      red       
1.63      1.05      red       
0.76      0.87      blue      
0.82      0.71      blue      
2.46      1.19      red       
1.93      1.34      red       
2.98      1.32      red       
1.96      1.45      red       
2.3       1.39      red       
1.09      0.98      blue      
1.25      0.87      blue      
1.33      1.15      blue      
0.72      1.19      blue      
0.8       1.22      blue      
1.95      1.55      red       
1.94      1.21      red       
2.7       1.26      red       
1.33      1.21      red       
0.69      0.96      blue      
0.86      0.94      blue      
0.45      0.21      blue      
1.63      0.64      blue      
0.81      1.56      red       
2.62      1.07      red       
1.84      1.34      red       
1.96      1.42      red       
2.19      1.4       red       
0.94      1.0       blue      
0.9       1.61      red       
1.13      0.63      blue      
2.78      1.5       red       
1.33      1.21      blue      
2.64      1.32      red       
1.84      1.51      red       
1.12      0.58      blue      
1.39      0.57      blue      
1.29      0.89      blue      
1.71      1.44      red       
1.22      0.97      blue      
1.86      1.51      red       
0.43      0.6       blue      
0.95      0.97      blue      
1.83      1.51      red       
1.04      0.71      blue      
1.36      1.02      blue      
0.96      0.88      blue      
0.97      0.93      blue      
0.57      1.02      blue      
2.55      1.06      red       
1.82      1.49      red       
1.87      1.43      red       
3.39      1.33      red       
1.45      1.44      red       
1.94      1.33      red       
2.04      1.47      red       
1.49      1.37      red       
2.38      1.59      red       
1.03      0.92      red       
2.34      1.28      red       
1.3       0.55      blue      
1.3       1.31      red       
0.95      1.05      blue      
2.01      1.25      red       
1.03      1.34      blue      
0.67      0.44      blue      
3.07      1.48      red       
0.39      0.68      blue      
3.11      1.29      red       
1.24      0.88      blue      
1.13      1.51      red       
1.37      1.22      red       
1.0       1.53      red       
2.12      1.24      red       
1.63      1.31      red       
0.72      0.81      blue      
0.66      1.58      red       
0.9       0.82      blue      
1.31      1.07      blue      
2.56      1.42      red       
1.92      1.38      red       
0.56      0.79      blue      
0.69      0.67      blue      
0.69      0.7       blue      
0.93      0.7       blue      
1.25      0.46      blue      
1.99      1.36      red       
2.1       1.45      red       
1.3       1.04      blue      
0.73      0.86      blue      
1.0       0.89      blue      
0.11      0.87      blue      
0.62      0.43      blue      
0.77      0.84      blue      
0.81      0.6       blue      
1.12      0.78      blue      
2.61      1.29      red       
1.26      1.34      red       
1.53      1.07      blue      
1.75      1.53      red       
0.91      0.49      blue      
0.69      0.51      blue      
1.15      0.82      blue      
1.42      0.68      blue      
1.57      1.8       red       
0.89      0.94      blue      
0.77      0.69      blue      
1.91      1.4       red       
1.88      1.72      red       
0.86      0.95      blue      
1.6       0.77      blue      
2.4       1.3       red       
0.87      0.87      blue      
3.73      1.24      red       
0.68      0.78      blue      
1.24      0.89      blue      
0.53      0.91      blue      
1.71      1.52      red       
1.79      1.62      red       
0.86      1.03      blue      
1.88      1.45      red       
0.88      0.83      blue      
1.84      1.47      red       
1.73      1.55      red       
1.86      1.4       red       
0.66      1.11      blue      
1.36      1.27      red       
1.24      0.89      blue      
1.07      0.81      blue      
2.57      1.39      red       
2.21      1.44      red       
2.32      1.42      red       
1.21      1.44      red       
1.71      1.36      red       
1.7       1.34      red       
0.43      1.48      red       
0.92      0.63      blue      
1.35      1.06      blue      
1.17      0.8       blue      
2.0       1.52      red       
2.92      1.65      red       
1.88      1.35      red       
1.32      0.42      blue      
1.22      0.9       blue      
0.81      1.12      blue      
0.96      0.79      blue      
0.16      0.38      blue      
1.92      1.23      red       
2.04      1.47      red       
1.23      1.32      red       
1.03      0.99      blue      
2.41      1.47      red       
1.07      0.86      blue      
